# Borussia Monchengladbach 2-2 1. FC Heidenheim | Full Match | Bundesliga MD28 2026-04-04
# Generated from Sportradar Extended API (1089 events)
# Format: mm:ss|priority|message
# Total speak events: 898
#
65:34|INTERRUPT|Reitz fires a right-footed shot from 18 meters, but it goes wide.
65:35|APPEND|Goal kick for Heidenheim.
65:35|APPEND|Reitz sends in a cross, but it's cleared.
65:38|APPEND|Neuhaus to Reitz.
65:54|APPEND|Kaufmann is down injured. Play is stopped.
67:17|APPEND|Substitution for Heidenheim. Gimber replaces Kaufmann.
67:18|APPEND|Ramaj to Ibrahimovic.
67:25|APPEND|Stoger to Neuhaus.
67:34|APPEND|to Reitz.
67:36|APPEND|Ibrahimovic to Ramaj.
67:41|APPEND|to Fohrenbach.
67:43|APPEND|to Fohrenbach.
67:48|APPEND|to Dorsch.
67:51|APPEND|to Gimber.
67:58|APPEND|Elvedi to Reitz.
67:59|APPEND|to Honorat.
68:05|APPEND|Gimber to Ibrahimovic.
68:10|APPEND|Scally to Sander.
68:17|APPEND|Busch to Dorsch.
68:20|APPEND|Reitz to Stoger.
68:23|APPEND|to Honorat.
68:25|APPEND|to Stoger.
68:30|INTERRUPT|Stoger forces a save with a left-footed effort from 23 meters.
68:59|APPEND|Diks to Castrop.
69:07|APPEND|Great tackle by Elvedi!
69:17|APPEND|Stoger to Honorat.
69:19|APPEND|Honorat tries to dribble past but is dispossessed.
69:20|APPEND|Foul by Gladbach.
69:55|APPEND|Substitution for Gladbach. Tabakovic replaces Scally.
70:02|APPEND|Substitution for Gladbach. Bolin replaces Reitz.
70:24|APPEND|Pieringer to Dorsch.
70:27|APPEND|to Fohrenbach.
70:30|APPEND|Fohrenbach sends in a cross, but it's cleared.
70:38|APPEND|Throw-in for Gladbach.
71:00|APPEND|Honorat to Tabakovic.
71:03|APPEND|to Bolin.
71:07|APPEND|Bolin sends in a cross, but it's cleared.
71:20|APPEND|Ramaj to Fohrenbach.
71:24|APPEND|to Pieringer.
71:29|APPEND|Honorat to Bolin.
71:31|APPEND|to Sander.
71:32|APPEND|to Elvedi.
71:34|APPEND|to Nicolas.
71:36|APPEND|to Diks.
71:37|APPEND|to Neuhaus.
71:43|APPEND|Smart interception by Gimber.
71:45|APPEND|Dorsch to Niehues.
71:47|APPEND|to Dorsch.
71:50|APPEND|to Stergiou.
71:51|APPEND|to Busch.
71:54|APPEND|to Gimber.
